wave,group_name,question,frequency,estimate,group_category,mid_date
Week45,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,7640050,education,5/3/2022
Week45,Bachelor’s degree or higher,"Frequency of feeling nervous, anxious, or on edge",Did not report,8940284,education,5/3/2022
Week45,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Not at all,38050263,education,5/3/2022
Week45,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Several days,20538748,education,5/3/2022
Week45,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,More than half the days,4914118,education,5/3/2022
Week45,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Nearly every day,5385563,education,5/3/2022
Week45,Bachelor’s degree or higher,Frequency of not being able to stop or control worrying,Did not report,9041325,education,5/3/2022
Week45,Married,"Frequency of feeling nervous, anxious, or on edge",Not at all,57611872,marital_status,5/3/2022
Week45,Married,"Frequency of feeling nervous, anxious, or on edge",Several days,35278282,marital_status,5/3/2022
Week45,Married,"Frequency of feeling nervous, anxious, or on edge",More than half the days,9969649,marital_status,5/3/2022
Week45,Married,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,12962591,marital_status,5/3/2022
Week45,Married,"Frequency of feeling nervous, anxious, or on edge",Did not report,21896833,marital_status,5/3/2022
Week45,Married,Frequency of not being able to stop or control worrying,Not at all,64851704,marital_status,5/3/2022
Week45,Married,Frequency of not being able to stop or control worrying,Several days,31900815,marital_status,5/3/2022
Week45,Married,Frequency of not being able to stop or control worrying,More than half the days,8813214,marital_status,5/3/2022
Week45,Married,Frequency of not being able to stop or control worrying,Nearly every day,9947995,marital_status,5/3/2022
Week45,Married,Frequency of not being able to stop or control worrying,Did not report,22205500,marital_status,5/3/2022
Week45,Widowed,"Frequency of feeling nervous, anxious, or on edge",Not at all,5571829,marital_status,5/3/2022
Week45,Widowed,"Frequency of feeling nervous, anxious, or on edge",Several days,2780851,marital_status,5/3/2022
Week45,Widowed,"Frequency of feeling nervous, anxious, or on edge",More than half the days,660796,marital_status,5/3/2022
Week45,Widowed,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,922288,marital_status,5/3/2022
Week45,Widowed,"Frequency of feeling nervous, anxious, or on edge",Did not report,1931137,marital_status,5/3/2022
Week45,Widowed,Frequency of not being able to stop or control worrying,Not at all,5994135,marital_status,5/3/2022
Week45,Widowed,Frequency of not being able to stop or control worrying,Several days,2432579,marital_status,5/3/2022
Week45,Widowed,Frequency of not being able to stop or control worrying,More than half the days,706323,marital_status,5/3/2022
Week45,Widowed,Frequency of not being able to stop or control worrying,Nearly every day,785104,marital_status,5/3/2022
Week45,Widowed,Frequency of not being able to stop or control worrying,Did not report,1948759,marital_status,5/3/2022
Week45,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Not at all,11839937,marital_status,5/3/2022
Week45,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Several days,8408559,marital_status,5/3/2022
Week45,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3215444,marital_status,5/3/2022
Week45,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5729184,marital_status,5/3/2022
Week45,Divorced/separated,"Frequency of feeling nervous, anxious, or on edge",Did not report,5745335,marital_status,5/3/2022
Week45,Divorced/separated,Frequency of not being able to stop or control worrying,Not at all,12771280,marital_status,5/3/2022
Week45,Divorced/separated,Frequency of not being able to stop or control worrying,Several days,8607677,marital_status,5/3/2022
Week45,Divorced/separated,Frequency of not being able to stop or control worrying,More than half the days,3027749,marital_status,5/3/2022
Week45,Divorced/separated,Frequency of not being able to stop or control worrying,Nearly every day,4747022,marital_status,5/3/2022
Week45,Divorced/separated,Frequency of not being able to stop or control worrying,Did not report,5784730,marital_status,5/3/2022
Week45,Never married,"Frequency of feeling nervous, anxious, or on edge",Not at all,16144252,marital_status,5/3/2022
Week45,Never married,"Frequency of feeling nervous, anxious, or on edge",Several days,17200215,marital_status,5/3/2022
Week45,Never married,"Frequency of feeling nervous, anxious, or on edge",More than half the days,6926561,marital_status,5/3/2022
Week45,Never married,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,11686836,marital_status,5/3/2022
Week45,Never married,"Frequency of feeling nervous, anxious, or on edge",Did not report,13741225,marital_status,5/3/2022
Week45,Never married,Frequency of not being able to stop or control worrying,Not at all,19897333,marital_status,5/3/2022
Week45,Never married,Frequency of not being able to stop or control worrying,Several days,16477426,marital_status,5/3/2022
Week45,Never married,Frequency of not being able to stop or control worrying,More than half the days,6417328,marital_status,5/3/2022
Week45,Never married,Frequency of not being able to stop or control worrying,Nearly every day,9106837,marital_status,5/3/2022
Week45,Never married,Frequency of not being able to stop or control worrying,Did not report,13800164,marital_status,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,562482,marital_status,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,185888,marital_status,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,69013,marital_status,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,99233,marital_status,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,1340720,marital_status,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Not at all,571658,marital_status,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Several days,168529,marital_status,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,More than half the days,33365,marital_status,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,108428,marital_status,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Did not report,1375356,marital_status,5/3/2022
Week45,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,8741712,household_size,5/3/2022
Week45,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,5839040,household_size,5/3/2022
Week45,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1772302,household_size,5/3/2022
Week45,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2713946,household_size,5/3/2022
Week45,1 person in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,3343122,household_size,5/3/2022
Week45,1 person in the household,Frequency of not being able to stop or control worrying,Not at all,10063836,household_size,5/3/2022
Week45,1 person in the household,Frequency of not being able to stop or control worrying,Several days,5288748,household_size,5/3/2022
Week45,1 person in the household,Frequency of not being able to stop or control worrying,More than half the days,1543938,household_size,5/3/2022
Week45,1 person in the household,Frequency of not being able to stop or control worrying,Nearly every day,2154276,household_size,5/3/2022
Week45,1 person in the household,Frequency of not being able to stop or control worrying,Did not report,3359325,household_size,5/3/2022
Week45,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,35344844,household_size,5/3/2022
Week45,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,20647864,household_size,5/3/2022
Week45,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,6658867,household_size,5/3/2022
Week45,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,8979185,household_size,5/3/2022
Week45,2 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,11181139,household_size,5/3/2022
Week45,2 people in the household,Frequency of not being able to stop or control worrying,Not at all,39622828,household_size,5/3/2022
Week45,2 people in the household,Frequency of not being able to stop or control worrying,Several days,19054891,household_size,5/3/2022
Week45,2 people in the household,Frequency of not being able to stop or control worrying,More than half the days,5540935,household_size,5/3/2022
Week45,2 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,7224637,household_size,5/3/2022
Week45,2 people in the household,Frequency of not being able to stop or control worrying,Did not report,11368609,household_size,5/3/2022
Week45,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,16177060,household_size,5/3/2022
Week45,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,12057439,household_size,5/3/2022
Week45,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,4739640,household_size,5/3/2022
Week45,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,7021927,household_size,5/3/2022
Week45,3 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,8853279,household_size,5/3/2022
Week45,3 people in the household,Frequency of not being able to stop or control worrying,Not at all,18659801,household_size,5/3/2022
Week45,3 people in the household,Frequency of not being able to stop or control worrying,Several days,11318709,household_size,5/3/2022
Week45,3 people in the household,Frequency of not being able to stop or control worrying,More than half the days,4421379,household_size,5/3/2022
Week45,3 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,5564463,household_size,5/3/2022
Week45,3 people in the household,Frequency of not being able to stop or control worrying,Did not report,8884993,household_size,5/3/2022
Week45,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,15311803,household_size,5/3/2022
Week45,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,12785108,household_size,5/3/2022
Week45,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3925802,household_size,5/3/2022
Week45,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5614618,household_size,5/3/2022
Week45,4 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,8771812,household_size,5/3/2022
Week45,4 people in the household,Frequency of not being able to stop or control worrying,Not at all,17934917,household_size,5/3/2022
Week45,4 people in the household,Frequency of not being able to stop or control worrying,Several days,11974520,household_size,5/3/2022
Week45,4 people in the household,Frequency of not being able to stop or control worrying,More than half the days,3443277,household_size,5/3/2022
Week45,4 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,4194736,household_size,5/3/2022
Week45,4 people in the household,Frequency of not being able to stop or control worrying,Did not report,8861692,household_size,5/3/2022
Week45,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,8656611,household_size,5/3/2022
Week45,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,6308374,household_size,5/3/2022
Week45,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2050412,household_size,5/3/2022
Week45,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2976125,household_size,5/3/2022
Week45,5 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,5828669,household_size,5/3/2022
Week45,5 people in the household,Frequency of not being able to stop or control worrying,Not at all,9376762,household_size,5/3/2022
Week45,5 people in the household,Frequency of not being able to stop or control worrying,Several days,6534602,household_size,5/3/2022
Week45,5 people in the household,Frequency of not being able to stop or control worrying,More than half the days,1682910,household_size,5/3/2022
Week45,5 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,2332879,household_size,5/3/2022
Week45,5 people in the household,Frequency of not being able to stop or control worrying,Did not report,5893038,household_size,5/3/2022
Week45,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,3956467,household_size,5/3/2022
Week45,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,3522154,household_size,5/3/2022
Week45,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,914457,household_size,5/3/2022
Week45,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2104100,household_size,5/3/2022
Week45,6 people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,3162764,household_size,5/3/2022
Week45,6 people in the household,Frequency of not being able to stop or control worrying,Not at all,4601852,household_size,5/3/2022
Week45,6 people in the household,Frequency of not being able to stop or control worrying,Several days,3098251,household_size,5/3/2022
Week45,6 people in the household,Frequency of not being able to stop or control worrying,More than half the days,1069263,household_size,5/3/2022
Week45,6 people in the household,Frequency of not being able to stop or control worrying,Nearly every day,1679190,household_size,5/3/2022
Week45,6 people in the household,Frequency of not being able to stop or control worrying,Did not report,3211386,household_size,5/3/2022
Week45,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Not at all,3541873,household_size,5/3/2022
Week45,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Several days,2693816,household_size,5/3/2022
Week45,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,779982,household_size,5/3/2022
Week45,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1990232,household_size,5/3/2022
Week45,7 or more people in the household,"Frequency of feeling nervous, anxious, or on edge",Did not report,3514465,household_size,5/3/2022
Week45,7 or more people in the household,Frequency of not being able to stop or control worrying,Not at all,3826115,household_size,5/3/2022
Week45,7 or more people in the household,Frequency of not being able to stop or control worrying,Several days,2317306,household_size,5/3/2022
Week45,7 or more people in the household,Frequency of not being able to stop or control worrying,More than half the days,1296278,household_size,5/3/2022
Week45,7 or more people in the household,Frequency of not being able to stop or control worrying,Nearly every day,1545205,household_size,5/3/2022
Week45,7 or more people in the household,Frequency of not being able to stop or control worrying,Did not report,3535465,household_size,5/3/2022
Week45,Children in household,"Frequency of feeling nervous, anxious, or on edge",Not at all,28968051,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,"Frequency of feeling nervous, anxious, or on edge",Several days,24268703,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7716324,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,12985219,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,"Frequency of feeling nervous, anxious, or on edge",Did not report,20817583,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,Frequency of not being able to stop or control worrying,Not at all,33494450,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,Frequency of not being able to stop or control worrying,Several days,22445255,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,Frequency of not being able to stop or control worrying,More than half the days,7787637,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,Frequency of not being able to stop or control worrying,Nearly every day,9974783,presence_of_children_under_18_years_old,5/3/2022
Week45,Children in household,Frequency of not being able to stop or control worrying,Did not report,21053755,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,"Frequency of feeling nervous, anxious, or on edge",Not at all,62762320,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,"Frequency of feeling nervous, anxious, or on edge",Several days,39585091,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,"Frequency of feeling nervous, anxious, or on edge",More than half the days,13125138,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,18414914,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,"Frequency of feeling nervous, anxious, or on edge",Did not report,23837667,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,Frequency of not being able to stop or control worrying,Not at all,70591660,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,Frequency of not being able to stop or control worrying,Several days,37141772,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,Frequency of not being able to stop or control worrying,More than half the days,11210342,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,Frequency of not being able to stop or control worrying,Nearly every day,14720602,presence_of_children_under_18_years_old,5/3/2022
Week45,No children,Frequency of not being able to stop or control worrying,Did not report,24060754,presence_of_children_under_18_years_old,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Not at all,6595087,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Several days,7518047,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3526232,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,8173717,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Did not report,5279712,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Not at all,6804416,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Several days,8048740,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,More than half the days,3806353,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Nearly every day,7100657,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Did not report,5332629,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Not at all,84976436,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Several days,56292364,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",More than half the days,17292717,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,23171224,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Did not report,31656928,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Not at all,97127651,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Several days,51489308,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,More than half the days,15130761,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Nearly every day,17583943,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Did not report,32058005,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,158848,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,43384,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,22513,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,55192,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,7718611,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Not at all,154044,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Several days,48980,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,More than half the days,60864,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,10785,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Did not report,7723875,respondent_or_household_member_experienced_loss_of_employment_income_in_last_4_weeks,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Not at all,51240246,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Several days,40143702,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",More than half the days,12962212,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,18576162,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,"Frequency of feeling nervous, anxious, or on edge",Did not report,18488627,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Not at all,60210534,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Several days,37059242,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,More than half the days,11486459,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Nearly every day,13992644,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Yes,Frequency of not being able to stop or control worrying,Did not report,18662070,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Not at all,40140133,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Several days,23511557,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",More than half the days,7842879,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,12730170,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,"Frequency of feeling nervous, anxious, or on edge",Did not report,18192137,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Not at all,43485745,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Several days,22370871,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,More than half the days,7485757,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Nearly every day,10636318,respondent_employed_in_the_last_7_days,5/3/2022
Week45,No,Frequency of not being able to stop or control worrying,Did not report,18438185,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,349992,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,198535,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,36372,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,93801,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,7974486,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Not at all,389831,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Several days,156915,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,More than half the days,25763,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,66424,respondent_employed_in_the_last_7_days,5/3/2022
Week45,Did not report,Frequency of not being able to stop or control worrying,Did not report,8014254,respondent_employed_in_the_last_7_days,5/3/2022
Week45,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Not at all,9352717,household_income,5/3/2022
Week45,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Several days,8395959,household_income,5/3/2022
Week45,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",More than half the days,3496891,household_income,5/3/2022
Week45,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Nearly every day,6859839,household_income,5/3/2022
Week45,"Less than $25,000","Frequency of feeling nervous, anxious, or on edge",Did not report,74921,household_income,5/3/2022
Week45,"Less than $25,000",Frequency of not being able to stop or control worrying,Not at all,10073630,household_income,5/3/2022
Week45,"Less than $25,000",Frequency of not being able to stop or control worrying,Several days,8293027,household_income,5/3/2022
Week45,"Less than $25,000",Frequency of not being able to stop or control worrying,More than half the days,3693243,household_income,5/3/2022
Week45,"Less than $25,000",Frequency of not being able to stop or control worrying,Nearly every day,6035630,household_income,5/3/2022
Week45,"Less than $25,000",Frequency of not being able to stop or control worrying,Did not report,84798,household_income,5/3/2022
Week45,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Not at all,7769330,household_income,5/3/2022
Week45,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Several days,6420228,household_income,5/3/2022
Week45,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,2217150,household_income,5/3/2022
Week45,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,4436092,household_income,5/3/2022
Week45,"$25,000 - $34,999","Frequency of feeling nervous, anxious, or on edge",Did not report,62048,household_income,5/3/2022
Week45,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Not at all,8504235,household_income,5/3/2022
Week45,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Several days,6063526,household_income,5/3/2022
Week45,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,More than half the days,2660271,household_income,5/3/2022
Week45,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Nearly every day,3566228,household_income,5/3/2022
Week45,"$25,000 - $34,999",Frequency of not being able to stop or control worrying,Did not report,110587,household_income,5/3/2022
Week45,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Not at all,9688590,household_income,5/3/2022
Week45,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Several days,6669690,household_income,5/3/2022
Week45,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,2659989,household_income,5/3/2022
Week45,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,3570751,household_income,5/3/2022
Week45,"$35,000 - $49,999","Frequency of feeling nervous, anxious, or on edge",Did not report,23991,household_income,5/3/2022
Week45,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Not at all,10990320,household_income,5/3/2022
Week45,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Several days,6343575,household_income,5/3/2022
Week45,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,More than half the days,2277556,household_income,5/3/2022
Week45,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Nearly every day,2900032,household_income,5/3/2022
Week45,"$35,000 - $49,999",Frequency of not being able to stop or control worrying,Did not report,101528,household_income,5/3/2022
Week45,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Not at all,14614367,household_income,5/3/2022
Week45,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Several days,9659066,household_income,5/3/2022
Week45,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",More than half the days,3181759,household_income,5/3/2022
Week45,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Nearly every day,4750628,household_income,5/3/2022
Week45,"$50,000 - $74,999","Frequency of feeling nervous, anxious, or on edge",Did not report,61337,household_income,5/3/2022
Week45,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Not at all,15846753,household_income,5/3/2022
Week45,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Several days,9808977,household_income,5/3/2022
Week45,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,More than half the days,2866085,household_income,5/3/2022
Week45,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Nearly every day,3663358,household_income,5/3/2022
Week45,"$50,000 - $74,999",Frequency of not being able to stop or control worrying,Did not report,81985,household_income,5/3/2022
